date,phq_attendance_school_holidays,phq_attendance_concerts_hospitality,phq_attendance_conferences_hospitality,phq_attendance_festivals_hospitality,phq_attendance_performing_arts_hospitality,phq_attendance_sports_hospitality,phq_impact_observances_hospitality,sin_day_of_week,cos_day_of_week,sin_month_of_year,cos_month_of_year,sin_day_of_year,cos_day_of_year,year,demand_lag7
2023-08-03,64561.0,0.0,0.0,0.0,4016.0,0.0,0.0,0.43388373911755823,-0.900968867902419,-0.8660254037844384,-0.5000000000000004,-0.5285813283559292,-0.8488826652214553,2023,8157.99
2023-08-04,64561.0,0.0,0.0,0.0,4888.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.8660254037844384,-0.5000000000000004,-0.5431052396834317,-0.8396646346181327,2023,10409.46
2023-08-05,64561.0,0.0,0.0,0.0,8000.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844384,-0.5000000000000004,-0.5574684374327892,-0.8301981337405212,2023,14483.29
2023-08-06,64561.0,0.0,0.0,0.0,6288.0,0.0,0.0,-0.7818314824680299,0.6234898018587334,-0.8660254037844384,-0.5000000000000004,-0.5716666713027052,-0.8204859638785327,2023,10403.96
2023-08-07,64561.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,1.0,-0.8660254037844384,-0.5000000000000004,-0.5856957398073508,-0.8105309990194823,2023,6511.82
2023-08-08,64561.0,0.0,0.0,0.0,872.0,0.0,0.0,0.7818314824680297,0.6234898018587336,-0.8660254037844384,-0.5000000000000004,-0.5995514915196489,-0.8003361849976323,2023,6903.17
2023-08-09,64561.0,0.0,0.0,0.0,3984.0,0.0,0.0,0.9749279121818236,-0.22252093395631434,-0.8660254037844384,-0.5000000000000004,-0.6132298262997502,-0.7899045386224707,2023,7410.0
